name,addr_city,addr_state,addr_pin
Vinder,Colorado Springs,Colorado,80935
Fiveclub,Springfield,Illinois,62723
Yodel,Cedar Rapids,Iowa,52405
Skynoodle,San Jose,California,95138
Viva,Chicago,Illinois,60624
Skinte,Albuquerque,New Mexico,87190
Twitterbeat,Richmond,Virginia,23293
Tazz,Escondido,California,92030
Npath,Riverside,California,92519
Twitterbridge,Lynchburg,Virginia,24503
Skilith,El Paso,Texas,79999
Buzzster,Annapolis,Maryland,21405
Brightbean,Colorado Springs,Colorado,80920
Youopia,Winston Salem,North Carolina,27110
Thoughtsphere,Norfolk,Virginia,23509
Meetz,Boise,Idaho,83757
Twitterlist,Tucson,Arizona,85748
Devcast,Erie,Pennsylvania,16550
Innotype,Alexandria,Louisiana,71307
Vinder,Memphis,Tennessee,38143
Mudo,Jacksonville,Florida,32209
Mudo,Rochester,New York,14639
Ntags,Sioux Falls,South Dakota,57193
Yamia,Monticello,Minnesota,55590
Katz,Fresno,California,93721
Zoomcast,Henderson,Nevada,89074
Yakitri,El Paso,Texas,79989
Zazio,Sacramento,California,94286
Skyndu,Boulder,Colorado,80305
Wordpedia,Lancaster,Pennsylvania,17605
Teklist,Winter Haven,Florida,33884
Topicshots,Anchorage,Alaska,99512
Brainverse,Hampton,Virginia,23663
Kwideo,Lees Summit,Missouri,64082
Meembee,Tallahassee,Florida,32399
Dabfeed,Santa Monica,California,90405
Twitterbridge,Maple Plain,Minnesota,55579
Snaptags,Salt Lake City,Utah,84130
Edgepulse,Austin,Texas,78744
Youbridge,Denver,Colorado,80291
Nlounge,Wichita Falls,Texas,76305
Shufflester,Irving,Texas,75062
Skalith,Lafayette,Indiana,47905
Youspan,Saint Louis,Missouri,63180
Ntag,Philadelphia,Pennsylvania,19115
Skiptube,Charleston,West Virginia,25362
Meedoo,Chandler,Arizona,85246
LiveZ,Washington,District of Columbia,20268
Flipopia,San Jose,California,95155
Realcube,Washington,District of Columbia,20299
Zava,Midland,Michigan,48670
Eare,Tulsa,Oklahoma,74156
Eire,Kalamazoo,Michigan,49006
Avavee,Providence,Rhode Island,2912
Photojam,Riverside,California,92513
Zava,Atlanta,Georgia,31190
Meejo,Toledo,Ohio,43656
Lazz,Salt Lake City,Utah,84120
Vipe,Fresno,California,93762
Quimba,San Antonio,Texas,78250
Shufflebeat,Shreveport,Louisiana,71166
Buzzbean,Albany,New York,12222
Skibox,Houston,Texas,77020
Izio,Saint Louis,Missouri,63110
Centimia,Memphis,Tennessee,38188
Omba,Hartford,Connecticut,6145
Devcast,Spokane,Washington,99210
Gabspot,South Lake Tahoe,California,96154
Skinder,Oklahoma City,Oklahoma,73147
Shuffletag,Murfreesboro,Tennessee,37131
Myworks,Albuquerque,New Mexico,87195
Vipe,Fort Lauderdale,Florida,33325
Trilith,Virginia Beach,Virginia,23459
Buzzster,Naperville,Illinois,60567
Wikizz,El Paso,Texas,88525
Fadeo,Lansing,Michigan,48919
Quatz,New Hyde Park,New York,11044
Mydo,Erie,Pennsylvania,16505
Dabjam,Columbus,Mississippi,39705
Meejo,Baltimore,Maryland,21282
Voonyx,Washington,District of Columbia,20016
Zooveo,Maple Plain,Minnesota,55579
Tazz,San Bernardino,California,92424
